year,month,day,T2M_MAX,T2M_MIN,PRECTOTCORR,PRECSNO,WS2M_MAX
1981,10,6,20.4,9.03,0.62,0.0,1.97
1982,10,6,20.43,9.61,3.86,0.0,1.23
1983,10,6,20.01,7.92,0.28,0.0,2.68
1984,10,6,19.3,9.9,0.87,0.0,1.25
1985,10,6,19.62,6.64,9.49,0.0,2.65
1986,10,6,16.87,10.36,6.33,0.0,1.6
1987,10,6,20.39,7.15,1.24,0.0,2.21
1988,10,6,19.28,3.3,0.0,0.0,2.28
1989,10,6,20.87,9.95,4.92,0.0,1.52
1990,10,6,17.22,7.62,0.07,0.0,2.11
1991,10,6,15.52,9.08,6.07,0.0,3.06
1992,10,6,19.72,7.43,2.2,0.0,1.43
1993,10,6,20.73,6.59,0.02,0.0,1.57
1994,10,6,21.85,8.8,1.81,0.0,1.03
1995,10,6,18.26,6.28,0.15,0.0,3.02
1996,10,6,19.5,9.8,4.82,0.0,2.04
1997,10,6,18.86,10.9,3.68,0.0,1.61
1998,10,6,20.01,10.98,6.71,0.0,1.7
1999,10,6,14.45,9.29,8.03,0.0,3.24
2000,10,6,20.75,10.99,4.43,0.0,2.07
2001,10,6,21.26,10.51,3.24,0.0,1.86
2002,10,6,19.64,7.06,3.63,0.0,2.4
2003,10,6,19.55,9.61,7.09,0.0,1.36
2004,10,6,20.46,7.15,3.39,0.0,1.68
2005,10,6,17.02,10.81,21.37,0.0,1.82
2006,10,6,16.93,6.73,0.99,0.0,3.28
2007,10,6,21.08,9.58,2.3,0.0,0.67
2008,10,6,21.01,8.89,4.31,0.0,0.62
2009,10,6,23.65,11.11,0.09,0.0,1.5
2010,10,6,18.5,2.32,0.16,0.0,2.29
2011,10,6,21.16,8.69,1.46,0.0,1.03
2012,10,6,21.51,6.68,0.08,0.0,1.7
2013,10,6,20.65,10.03,4.68,0.0,1.73
2014,10,6,19.32,9.78,8.1,0.0,1.4
2015,10,6,21.9,7.42,0.15,0.0,1.89
2016,10,6,22.17,8.97,0.24,0.0,1.76
2017,10,6,19.27,7.5,0.37,0.0,2.71
2018,10,6,18.88,10.46,4.67,0.0,1.11
2019,10,6,22.35,8.91,1.06,0.0,2.0
2020,10,6,20.04,1.71,0.0,0.0,2.39
2021,10,6,19.57,9.21,3.9,0.0,1.56
2022,10,6,17.87,8.87,5.6,0.0,1.59
2023,10,6,23.11,11.12,2.79,0.0,2.22
2024,10,6,18.48,11.24,9.65,0.0,1.26
