YEAR,MO,DY,T2M_MAX,T2M_MIN,PRECTOTCORR,IMERG_PRECLIQUID_PROB,PRECSNO,WS2M_MAX
2025,1,1,-28.57,-28.96,0.0,-999.0,0.0,2.03
2025,1,2,-28.62,-29.47,0.0,-999.0,0.0,3.14
2025,1,3,-27.22,-28.68,0.04,-999.0,0.04,3.53
2025,1,4,-28.29,-30.55,0.15,-999.0,0.15,3.5
2025,1,5,-27.17,-30.87,0.24,-999.0,0.24,3.46
2025,1,6,-23.12,-27.31,0.46,-999.0,0.46,3.56
2025,1,7,-22.16,-23.55,0.88,-999.0,0.88,4.21
2025,1,8,-21.71,-22.26,0.59,-999.0,0.59,2.7
2025,1,9,-20.86,-22.13,0.47,-999.0,0.47,4.21
2025,1,10,-21.94,-27.21,0.15,-999.0,0.15,4.12
2025,1,11,-24.82,-27.24,0.48,-999.0,0.48,3.67
2025,1,12,-24.0,-25.51,0.79,-999.0,0.79,5.2
2025,1,13,-23.78,-26.94,0.01,-999.0,0.01,4.48
2025,1,14,-26.25,-27.47,0.02,-999.0,0.02,4.81
2025,1,15,-26.23,-28.31,0.07,-999.0,0.07,4.48
2025,1,16,-26.26,-29.02,0.01,-999.0,0.01,3.99
2025,1,17,-27.7,-29.0,0.0,-999.0,0.0,4.59
2025,1,18,-25.45,-27.69,0.05,-999.0,0.05,4.69
2025,1,19,-23.9,-25.36,0.3,-999.0,0.3,4.83
2025,1,20,-23.75,-25.75,0.33,-999.0,0.33,3.59
2025,1,21,-23.22,-26.36,0.05,-999.0,0.05,5.68
2025,1,22,-22.99,-26.23,0.17,-999.0,0.17,5.47
2025,1,23,-25.39,-27.58,0.04,-999.0,0.04,2.81
2025,1,24,-26.8,-28.56,0.06,-999.0,0.06,3.32
2025,1,25,-26.52,-28.66,0.05,-999.0,0.05,3.4
2025,1,26,-28.47,-29.7,0.0,-999.0,0.0,2.83
2025,1,27,-27.55,-29.8,0.07,-999.0,0.07,2.39
2025,1,28,-27.49,-29.27,0.1,-999.0,0.1,4.89
2025,1,29,-28.2,-30.37,0.18,-999.0,0.18,4.79
2025,1,30,-28.76,-31.58,0.05,-999.0,0.05,4.23
2025,1,31,-31.61,-33.11,0.03,-999.0,0.03,4.67
2025,2,1,-32.16,-33.31,0.09,-999.0,0.09,5.24
2025,2,2,-33.33,-34.9,0.02,-999.0,0.02,3.29
2025,2,3,-34.43,-36.13,0.02,-999.0,0.02,2.49
2025,2,4,-35.16,-36.18,0.09,-999.0,0.09,2.85
2025,2,5,-34.85,-36.66,0.05,-999.0,0.05,2.85
2025,2,6,-35.62,-36.88,0.06,-999.0,0.06,2.44
2025,2,7,-33.06,-35.52,0.21,-999.0,0.21,1.85
2025,2,8,-31.57,-34.2,0.28,-999.0,0.28,3.83
2025,2,9,-30.57,-32.21,0.4,-999.0,0.4,4.44
2025,2,10,-32.38,-34.21,0.21,-999.0,0.21,4.15
2025,2,11,-33.01,-34.57,0.26,-999.0,0.26,1.89
2025,2,12,-34.7,-36.04,0.28,-999.0,0.28,2.31
2025,2,13,-36.14,-38.15,0.21,-999.0,0.21,2.07
2025,2,14,-38.24,-40.41,0.16,-999.0,0.16,2.05
2025,2,15,-39.25,-41.69,0.23,-999.0,0.23,1.88
